airport_id,name,country,latitude,longitude
CYXH,Medicine Hat Regional Airport,CA,50.018902,-110.721001
CYXJ,Fort St John / North Peace Regional Airport,CA,56.238098,-120.739998
CYXK,Rimouski Airport,CA,48.477644,-68.496323
CYXL,Sioux Lookout Airport,CA,50.11389923095703,-91.9052963256836
CYXQ,Beaver Creek Airport,CA,62.410301208496094,-140.86700439453125
CYXR,Earlton (Timiskaming Regional) Airport,CA,47.697400654599996,-79.8473453522
CYXS,Prince George (International) Airport,CA,53.884311,-122.666554
CYXT,Northwest Regional Airport Terrace-Kitimat,CA,54.468498,-128.576009
CYXU,London International Airport,CA,43.032845,-81.149003
CYXX,Abbotsford International Airport,CA,49.025299,-122.361
CYXY,Whitehorse / Erik Nielsen International Airport,CA,60.708533,-135.065705
CYXZ,Wawa Airport,CA,47.96670150756836,-84.78669738769531
CYYB,North Bay Jack Garland Airport,CA,46.363602,-79.422798
CYYC,Calgary International Airport,CA,51.118822,-114.009933
CYYD,Smithers Airport,CA,54.82469940185547,-127.18299865722656
CYYE,Fort Nelson Airport,CA,58.8363990784,-122.597000122
CYYF,Penticton Airport,CA,49.46310043334961,-119.60199737548828
CYYG,Charlottetown Airport,CA,46.288911,-63.125174
CYYJ,Victoria International Airport,CA,48.647201,-123.427792
CYYL,Lynn Lake Airport,CA,56.86389923095703,-101.07599639892578
CYYN,Swift Current Airport,CA,50.291900634799994,-107.691001892
CYYQ,Churchill Airport,CA,58.739200592041016,-94.06500244140625
CYYR,Goose Bay Airport,CA,53.3191986084,-60.4258003235
CYYT,St. John's International Airport,CA,47.618599,-52.7519
CYYU,Kapuskasing Airport,CA,49.411587,-82.469645
CYYW,Armstrong Airport,CA,50.29029846191406,-88.90969848632812
CYYY,Mont Joli Airport,CA,48.60860061645508,-68.20809936523438
CYYZ,Toronto Pearson International Airport,CA,43.675935,-79.629421
CYZE,Gore Bay Manitoulin Airport,CA,45.8853,-82.567802
CYZF,Yellowknife International Airport,CA,62.462799,-114.440002
CYZH,Slave Lake Airport,CA,55.292945,-114.777276
CYZP,Sandspit Airport,CA,53.25429916379999,-131.813995361
CYZR,Chris Hadfield Airport,CA,42.999401,-82.308899
CYZS,Coral Harbour Airport,CA,64.1932983398,-83.3593978882
CYZT,Port Hardy Airport,CA,50.680599212646484,-127.36699676513672
CYZU,Whitecourt Airport,CA,54.143902,-115.787003
CYZV,Sept-Îles Airport,CA,50.22330093383789,-66.2656021118164
CYZW,Teslin Airport,CA,60.17279815673828,-132.7429962158203
CYZX,CFB Greenwood,CA,44.98440170288086,-64.91690063476562
CYZY,Mackenzie Airport,CA,55.297786,-123.133907
CZ-0244,Kostomlaty Airstrip,CZ,50.20843,14.92585
CZAM,Shuswap Regional Airport,CA,50.682802,-119.228996
CZBB,Boundary Bay Airport,CA,49.074338,-123.006877
CZBF,Bathurst Airport,CA,47.6297,-65.738899
CZBM,Bromont (Roland Désourdy) Airport,CA,45.290798,-72.741402
CZEE,Kelsey Airport,CA,56.0374984741,-96.50969696039999
CZFA,Faro Airport,CA,62.20750045776367,-133.37600708007812
CZGF,Grand Forks Airport,CA,49.015598,-118.431
CZJG,Jenpeg Airport,CA,54.51890182495117,-98.04609680175781
CZJN,Swan River Airport,CA,52.120602,-101.236
